institucion,frac_desacuerdo_con_modal,inestable_mayor_20pct
TERCER TRIBUNAL AMBIENTAL,0.0,False
THOMAS-SIGNE CHILE S.A,0.0,False
TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,0.0,False
TRIBUNAL CONSTITUCIONAL DE CHILE,0.0,False
TRIBUNAL DE DEFENSA DE LA LIBRE COMPETENCIA,0.01,False
TRIBUNAL ELECTORAL REGION DE ANTOFAGASTA,0.0,False
TRIBUNAL ELECTORAL REGION DE ARICA Y PARINACOTA,0.46,True
TRIBUNAL ELECTORAL REGION DE BIOBIO,0.0,False
TRIBUNAL ELECTORAL REGION DE COQUIMBO,0.0,False
TRIBUNAL ELECTORAL REGION DE LOS RIOS,0.09,False
TRIBUNAL ELECTORAL REGION DE MAULE,0.0,False
TRIBUNAL ELECTORAL REGION DE O’HIGGINS,0.0,False
TRIBUNAL ELECTORAL REGION DE VALPARAISO,0.0,False
TRIBUNAL ELECTORAL REGIONAL DE TARAPACA,0.09,False
UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS,0.03,False
UNIDAD DE ANALISIS FINANCIERO,0.01,False
UNIVERSIDAD DE ANTOFAGASTA,0.0,False
UNIVERSIDAD DE CHILE,0.0,False
UNIVERSIDAD DE LA FRONTERA,0.02,False
UNIVERSIDAD DE LA SERENA,0.0,False
UNIVERSIDAD DE LOS LAGOS,0.16,False
UNIVERSIDAD DE O'HIGGINS,0.0,False
UNIVERSIDAD DE SANTIAGO DE CHILE,0.0,False
UNIVERSIDAD DE TALCA,0.43,True
UNIVERSIDAD DE TARAPACA,0.05,False
UNIVERSIDAD DEL BIOBIO,0.02,False
UNIVERSIDAD TECNOLOGICA METROPOLITANA,0.0,False
