client_id,nombre_app,institucion,sector
a760384d0e81439387ffe0b798286a4d,Clave Única Cert,Subsecretaría General de la Presidencia de la República,Ministerio Secretaría General de la Presidencia de la República
1740ec3c032b413ab6e25807d399b71e,Clave Unica Externa,Subsecretaría de Prevención del Delito,Ministerio del Interior y Seguridad Pública
1b036219ed03481faa0c474f8e897078,Clave Única IIE,Universidad de La Frontera,Ministerio de Educación
162c7417de9b4554bcc6be93e006b7a1,Clave Única UNO afp,AFP Uno,Empresa Privada
be4240b37c354311af26b2846acba9c7,Clave Única USACH,Universidad de Santiago de Chile,Ministerio de Educación
b1614aedadad49c7a75c20377f3de119,clave-unica-7oc,TOC,Empresa Privada
57f761e271504f89a905c6de22629ed4,ClaveUnica,ExperTI,Empresa Privada
bdf64f07aa3a4a7a8d9d8c37ccbea2c3,claveunica,Junta Nacional de Auxilio Escolar y Becas,Ministerio de Educación
fdb3b1812a504d65bb91da49faa9eb83,ClaveUnica - development,Secretaría de Gobierno Digital,Ministerio de Hacienda
d81efcbca24f44c394cb7f68280def94,ClaveUnica BO,ClaveÚnica BO,Test
20b113312e0b48bc8f03ad165f871109,ClaveUnica Interno,Celula ClaveÚnica,Test
b1efb5556ff8415c8459c9b57b15008f,ClaveUnica Interno 3,Celula ClaveUnica,Test
38e8688fe76d433d8f9a39debce4f90c,ClaveUnica Interno 4,Celula ClaveÚnica,Test
dce62c3eb0c64f86852275ce5e3e623d,CMS Interoperabilidad,Subsecretaría de Hacienda,Ministerio de Hacienda
4b8748cf710849ec8ceb4b545e162c7d,CNR,Comisión Nacional de Riego,Ministerio de Agricultura
cce309a83d0f482a829a610f1695bfee,CNTV Denuncias,Consejo Nacional de Televisión,Ministerio Secretaría General de Gobierno
fdda06ec9a5b4f3aa2ac01e1778e074b,CNTV Play,Consejo Nacional de Televisión,Ministerio Secretaría General de Gobierno
f9f791351c554034b397e4ee279c65cd,Codificador,Subsecretaría General de la Presidencia de la República,Ministerio Secretaría General de la Presidencia de la República
9b973345ca7443199dcae2cc0c8ea17d,Colecciones de Patrimonio,Dirección de Arquitectura,Ministerio de Obras Públicas
1ad6835586034de0b29f4a402b182c6c,Comisaría Virtual,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
4f22549f9d3a443cb041c0e55395dbf1,Comisaría Virtual 2,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
a2e46ce2ee1e4150954d6c6864c54578,Comisaría Virtual 3,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
4e87bc93e64f42d1bf678f670865c585,Comisaría Virtual 4,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
bc55fc87c21e47869f2c71d5773bc503,Comisaría Virtual 5,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
9de3d28661c84c6a92f3749320e52473,Comisaría Virtual 6,Carabineros de Chile,Ministerio del Interior y Seguridad Pública
ccb0008ff3804c8c8ccb8fbd99548826,Comisaría Virtual 7,Ministerio de Interior y Seguridad Pública,Ministerio del Interior y Seguridad Pública
ff285fb343284c5c98bae7c21bec6ff2,Comisaría Virtual 8,Secretaría de Gobierno Digital,Ministerio de Hacienda
6f984abd983a497eab1900252b0b3e8e,Comisaría Virtual 9,Secretaría de Gobierno Digital,Ministerio de Hacienda
