item1,item2,frequency
Resultados Subsidio Eléctrico: Subsecretaría de Energía,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",183
Contactanos DT: Dirección del Trabajo,Portal MiDT: Dirección del Trabajo,175
SERVEL- RENDICION: Servicio Electoral,undefinedSII: Servicio de Impuestos Internos,173
Autenticación TGR: Servicio de Tesorerías,Contraloria General de la Republica: CONTRALORIA,172
ChileAtiende: Instituto de Previsión Social,www.sii.cl: Servicio de Impuestos Internos,171
Comisaría Virtual: Carabineros de Chile,undefinedSII: Servicio de Impuestos Internos,170
miChileAtiende: Instituto de Previsión Social,www.sii.cl: Servicio de Impuestos Internos,169
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,FONASA - Portal Beneficiario: Fondo Nacional de Salud,166
Candidaturas: servicio electoral,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,161
IMG: MDS,Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,156
Autenticación TGR: Servicio de Tesorerías,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,153
Mercado+Público: Dirección de Compras y Contratación Pública,Subsidio Eléctrico: Subsecretaría de Evaluación Social,153
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,152
Contraloria General de la Republica: CONTRALORIA,www.sii.cl: Servicio de Impuestos Internos,151
Comisaría Virtual: Carabineros de Chile,DECLARACION JURADA: Servicio Agrícola y Ganadero,150
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,undefinedSII: Servicio de Impuestos Internos,150
Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,149
