servicio_origen,servicio_destino,soporte_direccion_dominante,clasificacion_orden,frac_lag_menor_5min,frac_lag_mismo_dia_menor_60min,lag_min_p25,lag_min_mediana,lag_min_p75,lag_min_p95
d602a0071f3f4db8b37a87cffd89bf23,eaf8f2b0ccd04cf2a7bfcf357fe88ca2,355,mixto,0.0282,0.2254,66.0,201.0,435.0,996.9
2ff516ac74a44ebfa3a522adbde28a0f,67eb30db49f240b08ab2b3f422f92cdf,347,mixto,0.0,0.1671,88.5,170.0,238.0,297.0
1ad6835586034de0b29f4a402b182c6c,2549b51828ce40af920a932dd2102217,344,mixto,0.1279,0.4331,25.75,99.5,303.25,920.7
56da1c80cfea4a5b83326bfef271fc3e,d602a0071f3f4db8b37a87cffd89bf23,344,mixto,0.032,0.2209,68.0,199.5,393.25,775.7
9a76efc4c34e4bd7843206658dc45454,1ad6835586034de0b29f4a402b182c6c,343,mixto,0.172,0.5423,8.0,45.0,192.0,742.0
ef1dd1f1a5b94d0eacb669f7b3ec2911,e10304f95c2b40738695563eb9b8662c,335,mixto,0.597,0.9164,1.0,3.0,10.0,258.1
9a76efc4c34e4bd7843206658dc45454,209ce526160947f0b398566cd4cbfd0d,335,mixto,0.3194,0.6567,3.0,21.0,123.0,940.8
cb9e2b9dd1cd44c5b7d4fdcfbbf3f5e0,123,333,mixto,0.0571,0.6036,11.0,36.0,207.0,697.4
123,08165f6182bc4dfc9dc1d7774508bbc6,331,mixto,0.0242,0.3142,47.0,120.0,400.5,1010.0
d602a0071f3f4db8b37a87cffd89bf23,64d9be8046574fbfbc1fb14c9912afea,322,mixto,0.0217,0.0901,317.0,522.0,753.0,1062.0
ffaec74bfd414f8394bab077a989e27f,6a322ad743e3464bae56d2d9b180078a,320,mixto,0.225,0.7594,5.0,11.0,48.5,508.6
dd7629fec91f4599b3cf8c0dd0b984ac,9ae54d261e454c93ae1c2cdec0fd03e6,316,mixto,0.2215,0.7025,5.0,23.0,76.0,648.75
dd7629fec91f4599b3cf8c0dd0b984ac,91f3f86897ff4ae39e50cbd7035fa8af,314,mixto,0.0096,0.1624,82.0,188.0,408.5,837.7
9a76efc4c34e4bd7843206658dc45454,94d27864f86d422faa68efccb908cc34,314,mixto,0.5446,0.8057,1.0,3.0,42.25,317.95
9a76efc4c34e4bd7843206658dc45454,dc821110e3f34bf3984d61955ced2e69,308,mixto,0.539,0.7597,2.0,4.0,49.25,608.2
9c9359fefd164d388f8a5edc2bac301e,67339e06f4b44f78994ff4785178807a,305,mixto,0.0164,0.2328,67.0,155.0,254.0,482.8
67eb30db49f240b08ab2b3f422f92cdf,209ce526160947f0b398566cd4cbfd0d,305,mixto,0.0033,0.1475,105.0,225.0,395.0,825.6
e8dde9d26979498786c6ba5a82f70ad3,ae4caa1cb2154cac89440f3fe18251cb,300,mixto,0.08,0.42,24.0,86.5,347.25,954.8
f883bd6d70b043a09837e8b888fe3f65,b9e3f79c40594953af24e9a43eba4e0c,295,mixto,0.061,0.7017,10.0,30.0,70.5,250.9
dd7629fec91f4599b3cf8c0dd0b984ac,67eb30db49f240b08ab2b3f422f92cdf,293,mixto,0.0205,0.3276,46.0,152.0,400.0,1110.8
123,91f3f86897ff4ae39e50cbd7035fa8af,292,mixto,0.0205,0.1164,176.5,382.5,694.0,1164.05
9a76efc4c34e4bd7843206658dc45454,91f3f86897ff4ae39e50cbd7035fa8af,291,mixto,0.2887,0.6701,4.0,17.0,110.5,756.5
123,209ce526160947f0b398566cd4cbfd0d,290,mixto,0.0345,0.2897,46.25,155.0,509.0,1195.1
14cc5dc0682d44fe99d2d91e1eaafac7,b972e814004e4624a566f308901cca7c,289,mixto,0.0554,0.2145,76.0,183.0,331.0,525.8
