grupo_a,grupo_b,mes,co_uso
FUAS-Mineduc (servicio),Poder Judicial,2024-08-01 00:00:00,1152
FUAS-Mineduc (servicio),Poder Judicial,2024-09-01 00:00:00,1271
FUAS-Mineduc (servicio),Poder Judicial,2024-10-01 00:00:00,16707
FUAS-Mineduc (servicio),Poder Judicial,2024-11-01 00:00:00,3163
FUAS-Mineduc (servicio),Poder Judicial,2024-12-01 00:00:00,2894
FUAS-Mineduc (servicio),Poder Judicial,2025-01-01 00:00:00,3236
FUAS-Mineduc (servicio),Poder Judicial,2025-02-01 00:00:00,6083
FUAS-Mineduc (servicio),Poder Judicial,2025-03-01 00:00:00,7746
FUAS-Mineduc (servicio),Poder Judicial,2025-04-01 00:00:00,1465
FUAS-Mineduc (servicio),Poder Judicial,2025-05-01 00:00:00,1844
FUAS-Mineduc (servicio),Poder Judicial,2025-06-01 00:00:00,1353
FUAS-Mineduc (servicio),Poder Judicial,2025-07-01 00:00:00,1265
FUAS-Mineduc (servicio),Poder Judicial,2025-08-01 00:00:00,1518
FUAS-Mineduc (servicio),Poder Judicial,2025-09-01 00:00:00,1554
FUAS-Mineduc (servicio),Poder Judicial,2025-10-01 00:00:00,17547
FUAS-Mineduc (servicio),Poder Judicial,2025-11-01 00:00:00,3379
FUAS-Mineduc (servicio),Poder Judicial,2025-12-01 00:00:00,2332
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-01-01 00:00:00,11134
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-02-01 00:00:00,21552
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-03-01 00:00:00,26969
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-04-01 00:00:00,7515
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-05-01 00:00:00,5771
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-06-01 00:00:00,4671
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-07-01 00:00:00,3790
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-08-01 00:00:00,5166
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-09-01 00:00:00,5422
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-10-01 00:00:00,85234
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-11-01 00:00:00,10636
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2024-12-01 00:00:00,11544
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-01-01 00:00:00,16392
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-02-01 00:00:00,27122
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-03-01 00:00:00,36449
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-04-01 00:00:00,5759
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-05-01 00:00:00,4731
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-06-01 00:00:00,508
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-07-01 00:00:00,2
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-08-01 00:00:00,6
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-09-01 00:00:00,4
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-10-01 00:00:00,45
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-11-01 00:00:00,5
FUAS-Mineduc (servicio),Registro Social de Hogares (servicio),2025-12-01 00:00:00,4
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-01-01 00:00:00,3349
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-02-01 00:00:00,6354
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-03-01 00:00:00,12506
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-04-01 00:00:00,7095
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-05-01 00:00:00,2816
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-06-01 00:00:00,2345
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-07-01 00:00:00,1092
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-08-01 00:00:00,1775
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-09-01 00:00:00,1582
FUAS-Mineduc (servicio),Servicio de Impuestos Internos,2024-10-01 00:00:00,20988
