institucion,marginal,n_total
MUNICIPALIDAD DE LOS SAUCES,63,14081161
MICROSYSTEM S.A.,57,14081161
MUNICIPALIDAD DE CERRO NAVIA,45,14081161
MUNICIPALIDAD DE DIEGO DE ALMAGRO,45,14081161
MUNICIPALIDAD DE CURACAVI,39,14081161
MUNICIPALIDAD DE RANQUIL,30,14081161
MUNICIPALIDAD DE PUDAHUEL,29,14081161
EMPRESA NACIONAL DE MINERIA,27,14081161
FARMACIAS AHUMADA,24,14081161
DYNAMICS SE,23,14081161
MUNICIPALIDAD DE SALAMANCA,22,14081161
EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,19,14081161
MUNICIPALIDAD DE CUNCO,18,14081161
COMPLEJO ASISTENCIAL DR. VICTOR RIOS RUIZ,16,14081161
MUNICIPALIDAD DE CHILE CHICO,16,14081161
MUNICIPALIDAD DE CHANCO,15,14081161
MUNICIPALIDAD DE SAN ROSENDO,13,14081161
MUNICIPALIDAD DE PETORCA,10,14081161
BANCO DEL ESTADO DE CHILE,9,14081161
MUNICIPALIDAD DE PORVENIR,9,14081161
FIRMADOX,7,14081161
MUNICIPALIDAD DE CASABLANCA,7,14081161
MUNICIPALIDAD DE MEJILLONES,6,14081161
MUNICIPALIDAD DE PADRE LAS CASAS,6,14081161
"MINISTERIO DE CULTURA, LAS ARTES Y EL PATRIMONIO",5,14081161
MINISTERIO DEL DEPORTE,5,14081161
SUBSECRETARIA DE AGRICULTURA,5,14081161
MUNICIPALIDAD DE TILTIL,5,14081161
CASA DE MONEDA DE CHILE S.A.,5,14081161
SOC. DE COMPUTACION DATASOFT S.A.,4,14081161
MUNICIPALIDAD DE CANETE,4,14081161
OFICINA NACIONAL DE EMERGENCIA,4,14081161
DEPARTAMENTO DE EXTRANJERIA Y MIGRACION,4,14081161
MUNICIPALIDAD DE VICHUQUEN,4,14081161
DA LO MISMO,3,14081161
DIRECCION DE OBRAS HIDRAULICAS,3,14081161
GOBIERNO REGIONAL DE LA REGION DEL MAULE,3,14081161
MUNICIPALIDAD DE NATALES,3,14081161
MUNICIPALIDAD DE NUEVA IMPERIAL,2,14081161
MUNICIPALIDAD DE LA PINTANA,2,14081161
SERVICIO SALUD CHILOE,2,14081161
GOBIERNO REGIONAL DE LA REGION ATACAMA,2,14081161
MUNICIPALIDAD DE EMPEDRADO,2,14081161
SUBSECRETARIA DE TURISMO,2,14081161
MUNICIPALIDAD DE CURACAUTIN,2,14081161
SERVICIO LOCAL DE EDUCACION PUBLICA DE VALPARAISO,1,14081161
CUENTA EMPRENDE,1,14081161
